target,predicted
'meɾon ka 'baŋ ɡus'to,'meɾon ka 'baŋ ɡus'to
bini'ɡaj ni'a sa 'ʔakin la'hat naŋ 'peɾa ni'a,bini'ɡaj ni'a sa 'ʔakin la'hat naŋ 'peɾa ni'a
wa'laʔ si'aŋ i'baŋ ɡa'win kuŋ hin'diʔ tu'mawa,wa'laʔ si'jaŋ i'baŋ ɡa'win kuŋ hin'diʔ tu'mawa
ʔi'to ʔa'koŋ kuma'kaʔin naŋ 'saɡiŋ,ʔi'to ʔa'koŋ kuma'kaʔin naŋ 'saɡiŋ
'kahit na ʔaŋ ʔaksi'dente 'ʔaj 'ʔanim na bu'an naŋ nakali'lipas sumasa'kit pa 'ɾin ʔaŋ le'ʔeɡ ko,'kahit na ʔaŋ ʔaksi'dente ʔaj 'ʔanim na bu'an naŋ nakali'lipas sumasa'kit pa 'ɾin ʔaŋ le'ʔeɡ ko
mada'las 'namin ʔi'on ɡa'win no'ʔoŋ 'bataʔ ka'mi,mada'las 'namin ʔi'on ɡa'win no'ʔoŋ 'bataʔ ka'mi
'kaja 'koŋ sa'bihin sa'jo na hin'diʔ 'jun naŋ'jaɾi,ka'jaʔ 'koŋ sa'bihin sa'jo na hin'diʔ 'jun naŋ'jaɾi
su'sulat ʔa'ko naŋ ʔi'saŋ paŋu'ŋusap sa 'wikaŋ ʔale'man,su'sulat ʔa'ko naŋ ʔi'saŋ paŋu'ŋusap sa 'wikaŋ ʔale'man
ʔa'jokoŋ pu'masok sa ʔes'kwela,ʔaju'koŋ pu'masok sa ʔes'kwela
'ʔoʔo si'a si 'ʔantoni,'ʔoʔo si'a si 'antoni
la'siŋ si'jat nakali'mutan saɾ'han ʔaŋ pin'toʔ sa li'kod,la'siŋ si'jat nakali'mutan saɾ'han ʔaŋ pin'toʔ sa li'kod
naɡtu'tuɾo ʔa'ko,naɡtu'tuɾoʔ ʔa'ko
pakita'waɡan mo ʔa'ko ka'paɡ ʔa'lam mo na ʔaŋ ɡus'to 'moŋ ɡa'win,pakitawa'ɡan mo ʔa'ko ka'paɡ ʔa'lam mo na ʔaŋ ɡus'to moŋ ɡa'win
ʔuˌmiʔi'nom ka naŋ t͡ʃa'ʔa,ʔuˌmiʔi'nom ka naŋ t͡ʃa'ʔa
bumaba'baʔ ʔaŋ kali'dad naŋ bi'ɡas,bumaba'baʔ ʔaŋ kali'dad naŋ bi'ɡas
maba'ʔit na'man si'aŋ tinu'ɾo sa 'ʔakin ʔaŋ tiɡi'lan naŋ 'bus,maba'ʔit na'man si'aŋ tinu'ɾo sa 'ʔakin ʔaŋ tiɡi'lan naŋ 'bus
ma'lapit si'aŋ nakati'ɾa,ma'lapit si'aŋ nakati'ɾa
kaj ɡan'daŋ ma'ŋa bulak'lak,kaj ɡan'daŋ ma'ŋa bulak'lak
nanu'ʔod ʔa'ko naŋ ba'litaʔ sa telebis'jon paɡka'tapos naŋ ha'punan,nanu'ʔod ʔa'ko naŋ ba'litaʔ sa telebis'jon paɡka'tapos naŋ ha'punan
paki'ʔusap tanda'ʔaŋ pata'jin ʔaŋ 'ʔilaw 'baɡo ma'tuloɡ,paki'ʔusap tanda'ʔaŋ pata'jin ʔaŋ 'ʔilaw 'baɡo ma'tuloɡ
nasak'tan ko ba ʔi'kaw,nasak'tan ko ba ʔi'kaw
pata'pos ko naŋ ba'sahin i'toŋ no'bela,pa'tapos ko naŋ ba'sahin i'toŋ no'bela
'meɾon ka'joŋ maɡa'siŋ ha'pon,'meɾon ka'joŋ maɡa'siŋ 'hapon
ma'ɾamiŋ sina'sabi sa'jo ʔaŋ ma'ŋa 'taʔo na hin'diʔ na'man tala'ɡa toto'ʔo,ma'ɾamiŋ sina'sabi sa'jo ʔaŋ ma'ŋa 'taʔo na hin'diʔ na'man tala'ɡa toto'ʔo
diʔ pa duma'tiŋ ʔaŋ taɡadeli'beɾ naŋ 'pitsa,diʔ pa duma'tiŋ ʔaŋ taɡade'libeɾ naŋ 'pitsa
'ɡusto 'koŋ kuman'ta ka,ɡus'to 'koŋ kuman'ta ka
sa ʔa'lam ko wa'laŋ maɡa'liŋ na lib'ɾo sa teoɾ'jaŋ ʔi'on,sa ʔa'lam ko wa'laŋ maɡa'liŋ na lib'ɾo sa te'oɾjaŋ ʔi'on
tina'noŋ sa 'ʔakin naŋ matan'daʔ ʔaŋ 'ʔoɾas,tina'noŋ sa 'ʔakin naŋ matan'daʔ ʔaŋ 'ʔoɾas
'paɾaŋ ti'nik na hin'diʔ mataŋ'ɡal sa lala'munan,'paɾaŋ ti'nik na hin'diʔ mataŋ'ɡal sa lala'munan
'dati naŋ nahu'li si 'betti 'dahil sa paɡna'nakaw,'dati naŋ nahu'li si 'betti 'dahil sa paɡna'nakaw
na'saʔ mala'kiŋ ku'aɾto ʔaŋ 'paɾti,'nasa mala'kiŋ ku'aɾto ʔaŋ 'paɾti
pu'masok ʔa'ko sa lo'ʔob 'paɾa ʔumi'nom naŋ ka'pe,pu'masok ʔa'ko sa lo'ʔob 'paɾa ʔumi'nom naŋ ka'pe
wa'laŋ ɡuma'law,wa'laŋ ɡuma'law
hu'aɡ mo na ʔa'koŋ hinta'jin hin'diʔ na'man tala'ɡa ki'ta hihinta'jin,hu'aɡ mo na ʔa'koŋ hinta'jin hin'diʔ na'man tala'ɡa ki'ta hihinta'jin
maɡtutulu'ŋan 'tajo 'paɾa li'nisin la'hat naŋ 'kalat na 'jon,maɡtutu'luŋan 'tajo 'paɾa li'nisin la'hat naŋ ka'lat na 'jon
maɡsu'ʔot 'poʔ ka'jo naŋ t͡ʃi'nelas,maɡsu'ʔot 'poʔ ka'jo naŋ t͡ʃi'nelas
ta'pos na ʔaŋ taɡla'miɡ taɡsi'bol na,ta'pos na ʔaŋ taɡla'miɡ taɡsi'bol na
ʔa'lam mo ba ʔaŋ sik'ɾeto naŋ ma'habaŋ 'buhaj,ʔa'lam mo ba ʔaŋ sik'ɾeto naŋ maha'baŋ 'buhaj
kuŋ ka'jaʔ hin'diʔ ʔa'ko duma'tiŋ ka'hapon,kuŋ ka'jaʔ hin'diʔ ʔa'ko duma'tiŋ ka'hapon
ma'bahoʔ ba ʔa'ko,ma'bahoʔ ba ʔa'ko
ŋa'joŋ ʔu'maɡa nasi'ɾaʔ ko 'juŋ ɡina'ɡamit ko 'habaŋ naɡlala'ɾoʔ naŋ 'bola sa 'kwaɾto,ŋa'joŋ ʔu'maɡa na'siɾaʔ ko 'juŋ ɡina'ɡamit ko 'habaŋ naɡla'laɾoʔ naŋ 'bola sa 'kwaɾto
'naʔis ko na maɡa'waʔ ʔi'an naŋ sa'ɾili ko,'naʔis ko na maɡa'waʔ ʔi'an naŋ sa'ɾili ko
na'haʔin na ʔaŋ ʔalmu'sal,na'haʔin na ʔaŋ ʔalmu'sal
maɡ'kano 'hoʔ ʔaŋ ʔi'saŋ ka'hon naŋ tu'ɾones naŋ ka'suj,maɡ'kano 'hoʔ ʔaŋ ʔi'saŋ ka'hon naŋ tu'ɾones naŋ ka'suj
ma'baɡal si'aŋ naɡla'kad 'ʔupaŋ hin'diʔ si'a madu'las,ma'baɡal si'aŋ naɡ'lakad 'ʔupaŋ hin'diʔ si'a madu'las
ɡan'jan ka ba kata'ŋa,ɡan'jan ka ba kata'ŋaʔ
ɡus'to ko 'ɾin i'toŋ 'kulaj,ɡus'to ko 'ɾin i'toŋ 'kulaj
toto'ʔo ba ʔaŋ ʔis'toɾja ni'a,toto'ʔo ba ʔaŋ ʔis'toɾja ni'a
'ʔunaŋ 'beses 'koŋ maɡ'salin 'ɡaliŋ sa ʔital'jano,'ʔunaŋ 'beses 'koŋ maɡsa'lin 'ɡaliŋ sa ʔital'jano
ka'tuloŋ naŋ ʔaɾkejo'loɡo si'a,ka'tuloŋ naŋ ʔaɾke'joloɡo si'a
sa ʔi'o ʔi'to,sa ʔi'o ʔi'to
'peɾo wa'laʔ ʔa'koŋ 'peɾa,'peɾo wa'laʔ ʔa'koŋ 'peɾa
ʔa'joko bumaɡ'sak sa 'ʔakiŋ ma'ŋa paɡsu'sulit,ʔa'joko bumaɡ'sak sa 'ʔakiŋ ma'ŋa paɡsu'sulit
pa'ʔano mo ɡus'to ʔaŋ ka'pe mo,pa'ʔano mo ɡus'to ʔaŋ ka'pe mo
hin'diʔ ka'mi 'pwedeŋ ma'buhaj na wa'laŋ 'tubiɡ 'kahit ni ʔi'saŋ 'ʔaɾaw,hin'diʔ ka'mi 'pwedeŋ ma'buhaj na wa'laŋ 'tubiɡ 'kahit ni ʔi'saŋ 'ʔaɾaw
hin'diʔ ʔa'ko naɡsisinuŋa'liŋ,hin'diʔ ʔa'ko naɡsisinuŋa'liŋ
nata'wid ni'a ʔaŋ kaɾaɡa'taŋ pa'sipiko naŋ baŋ'kaʔ,nata'wid ni'a ʔaŋ kaɾaɡa'taŋ pa'sipiko naŋ baŋ'kaʔ
'sabi 'koŋ ʔuma'lis si'a sa si'lid,'sabi 'koŋ ʔuma'lis si'a sa si'lid
pati'ŋin ʔa'ko,pati'ŋin ʔa'ko
sumu'nod si 'tom,sumu'nod si 'tom
nakala'lason 'jan,nakala'lason 'jan
wa'laŋ ʔu'miboʔ,wa'laŋ ʔumi'bo
humi'nahon ka,humi'nahon ka
ʔaŋ 'ʔakiŋ kapa'tid na la'laki ʔaj kumi'kita naŋ 'peɾa kalaha'tiŋ 'beses hi'ɡit sa 'ʔakiŋ 'tataj,ʔaŋ 'ʔakiŋ kapa'tid na la'laki ʔaj kuˌmi'kita naŋ 'peɾa kala'hatiŋ 'beses hi'ɡit sa 'ʔakiŋ 'tataj
ma'haŋin,ma'haŋin
ʔaŋ ʔik'liʔ,ʔaŋ ʔik'liʔ
maj sam'puŋ se'ɡundo na ʔaŋ nati'tiɾa sa 'buhaj mo,maj sam'puŋ se'ɡundo na ʔaŋ nati'tiɾa sa 'buhaj mo
ʔa'noŋ ɡus'to moŋ ma'ɡiŋ paɡla'ki mo,ʔa'noŋ ɡus'to moŋ ma'ɡiŋ paɡla'ki mo
su'mali ka ba sa 'siŋiŋ 'kontest,su'mali ka ba sa si'ŋiŋ 'kontest
ʔa'ko 'mismo ʔaj hin'diʔ pa nakaka'kita naŋ 'jufo,ʔa'ko 'mismo ʔaj hin'diʔ pa nakaka'kita naŋ juʔef'ʔo
diʔ ko kaʔi'laŋan ʔaŋ 'peɾa mo kaʔi'laŋan ko ʔaŋ 'ʔoɾas mo,diʔ ko kaʔi'laŋan ʔaŋ 'peɾa mo kaʔi'laŋan ko ʔaŋ 'ʔoɾas mo
sa ʔi'o ba ʔi'to,sa ʔi'o ba ʔi'to
muk'haŋ 'bisi ka,muk'haŋ 'bisi ka
mina'hal ko si 'tom,mina'hal ko si 'tom
mada'las si'aŋ pinapaɡa'litan naŋ ʔa'sawa ni'a,mada'las si'aŋ pinapaɡali'tan naŋ ʔa'sawa ni'a
paki'huɡas ʔaŋ ʔin'joŋ ka'maj,paki'huɡas ʔaŋ ʔin'joŋ ka'maj
ɡus'toŋ maɡbio'lin si 'ajnstajn,ɡus'toŋ maɡbio'lin si 'ajnstajn
ɡus'to ni'jaŋ maɡ'ʔaɾal naŋ 'musikat paɡsasa'jaw,ɡus'to ni'jaŋ maɡ'ʔaɾal naŋ 'musikat paɡsasa'jaw
'ɡusto ni'jaŋ tumi'ɾa sa hi'laɡaŋ ʔa'meɾika,ɡus'to ni'jaŋ tu'miɾa sa hi'laɡaŋ ʔa'meɾika
ʔa'ko ʔaj napapa'ʔisip kuŋ ʔa'noʔa'noŋ ma'ŋa kasabi'han ʔaŋ 'nasa ka'njaŋ 'ʔutak,ʔa'ko ʔaj napapa'ʔisip kuŋ ʔanoʔa'noŋ ma'ŋa kasabi'han ʔaŋ 'nasa ka'njaŋ 'ʔutak
naɡsasa'jaŋ naŋ ma'ɾamiŋ paɡ'kaʔin si tom,naɡsasa'jaŋ naŋ ma'ɾamiŋ paɡ'kaʔin si 'tom
'dapat i'tiɡil mo na ʔaŋ paniniɡa'ɾiljo 'paɾa sa kalu'suɡan mo,'dapat iti'ɡil mo na ʔaŋ paniniɡa'ɾiljo 'paɾa sa kalu'suɡan mo
naɾi'niɡ ko na si'a ʔaj bumi'li naŋ 'baɡoŋ kom'pjuteɾ,naɾi'niɡ ko na si'a ʔaj bumi'li naŋ 'baɡoŋ kom'pjuteɾ
ba'kaʔ maki'kita 'natin ʔaŋ ma'ŋa 'puɡad naŋ 'ʔibon,ba'kaʔ maki'kita 'natin ʔaŋ ma'ŋa 'puɡad naŋ 'ʔibon
sa 'tio ko 'juŋ 'bahaj na pu'la ʔaŋ bu'boŋ,sa 'tio ko 'juŋ 'bahaj na pu'la ʔaŋ bu'boŋ
kaʔi'laŋan 'koŋ maɡha'nap naŋ 'baɡoŋ kaʔi'biɡan,kaʔi'laŋan 'koŋ maɡha'nap naŋ 'baɡoŋ kaʔi'biɡan
ta'ɾa,ta'ɾa
naɡbi'biɾoʔ 'laŋ ʔa'ko,naɡbi'biɾoʔ 'laŋ ʔa'ko
han'daʔ ʔa'koŋ ɡa'win ʔaŋ 'kahit ʔa'no 'paɾa sa'jo,han'daʔ ʔa'koŋ ɡa'win ʔaŋ 'kahit ʔa'no 'paɾa sa'jo
wa'laŋ maj pakiʔa'lam,wa'laŋ maj pakiʔa'lam
'ʔajaw ko naŋ ʔi'nihaw na ʔis'daʔ ʔa'no pa ka'jaʔ ʔaŋ hi'law na ʔis'daʔ,'ʔajaw ko naŋ ʔi'nihaw na ʔis'daʔ ʔa'no pa ka'jaʔ ʔaŋ hi'law na ʔis'daʔ
hin'diʔ ma'kakasa'maʔ ʔaŋ paɡʔi'nom naŋ 'tubiɡ bas'ta hu'aɡ 'sobɾa,hin'diʔ makaka'sama ʔaŋ paɡʔi'nom naŋ 'tubiɡ bas'ta hu'aɡ 'sobɾa
maj mahi'ɡit naŋ pi'toŋ 'liboŋ 'wikaʔ sa daʔiɡ'diɡ,maj mahi'ɡit naŋ pi'toŋ 'liboŋ 'wikaʔ sa daʔiɡ'diɡ
sula'tan mo ʔa'ko ʔa'ɡad,sula'tan mo ʔa'ko ʔa'ɡad
'sana makapun'ta ʔa'ko naŋ d͡ʒa'pan,'sana makapun'ta ʔa'ko naŋ d͡ʒa'pan
diʔ ko si'a na'kita,diʔ ko si'a na'kita
hu'aɡ la'pitan ʔaŋ 'ʔaso,hu'aɡ la'pitan ʔaŋ 'ʔaso
